,original_text,masked_text,prediction,matching_count,total_count
3515,"a peremptory way to his sister, who, after an irresolute glance at sir","a peremptory way <mask> his sister, who, after an irresolute glance <mask> sir","a peremptory way  towards his sister, who, after an irresolute glance , sir",0,2
3516,"henry, walked off by the side of her brother. the naturalist's angry","henry, walked off <mask> the side <mask> her brother. the naturalist's angry","henry, walked off  to the side  of her brother. the naturalist's angry",1,2
3517,gestures showed that the lady was included in his displeasure. the,gestures showed that the lady was included <mask> his displeasure. the,gestures showed that the lady was included  in his displeasure. the,1,1
3518,"baronet stood for a minute looking after them, and then he walked slowly","baronet stood <mask> a minute looking after them, and then he walked slowly","baronet stood  for a minute looking after them, and then he walked slowly",1,1
3519,"back the way that he had come, his head hanging, the very picture of","back the way that he had come, his head hanging, the very picture <mask>","back the way that he had come, his head hanging, the very picture .",0,1
3520,dejection.,dejection.,dejection.,0,0
3521,,,,0,0
3522,"what all this meant i could not imagine, but i was deeply ashamed to","what all this meant i could not imagine, but i was deeply ashamed <mask>","what all this meant i could not imagine, but i was deeply ashamed .",0,1
3523,have witnessed so intimate a scene without my friend's knowledge. i ran,have witnessed so intimate a scene without my friend's knowledge. i ran,have witnessed so intimate a scene without my friend's knowledge. i ran,0,0
3524,down the hill therefore and met the baronet at the bottom. his face was,down the hill therefore and met the baronet <mask> the bottom. his face was,down the hill therefore and met the baronet  at the bottom. his face was,1,1
3525,"flushed with anger and his brows were wrinkled, like one who is at his","flushed <mask> anger and his brows were wrinkled, like one who is <mask> his","flushed  with anger and his brows were wrinkled, like one who is  losing his",1,2
3526,wit's ends what to do.,wit's ends what <mask> do.,wit's ends what  we do.,0,1
3527,,,,0,0
3528,"""halloa, watson! where have you dropped from?"" said he. ""you don't mean","""halloa, watson! where have you dropped from?"" said he. ""you don't mean","""halloa, watson! where have you dropped from?"" said he. ""you don't mean",0,0
3529,"to say that you came after me in spite of all?"""," <mask> say that you came after me <mask> spite <mask> all?"""," You say that you came after me  in spite  of all?""",2,3
3530,,,,0,0
3531,i explained everything to him: how i had found it impossible to remain,i explained everything <mask> him: how i had found it impossible <mask> remain,i explained everything  to him: how i had found it impossible  to remain,2,2
3532,"behind, how i had followed him, and how i had witnessed all that","behind, how i had followed him, and how i had witnessed all that","behind, how i had followed him, and how i had witnessed all that",0,0
3533,"had occurred. for an instant his eyes blazed at me, but my frankness","had occurred. <mask> an instant his eyes blazed <mask> me, but my frankness","had occurred.  For an instant his eyes blazed  at me, but my frankness",2,2
3534,"disarmed his anger, and he broke at last into a rather rueful laugh.","disarmed his anger, and he broke <mask> last into a rather rueful laugh.","disarmed his anger, and he broke  at last into a rather rueful laugh.",1,1
3535,,,,0,0
3536,"""you would have thought the middle of that prairie a fairly safe","""you would have thought the middle <mask> that prairie a fairly safe","""you would have thought the middle  of that prairie a fairly safe",1,1
3537,"place for a man to be private,"" said he, ""but, by thunder, the whole","place <mask> a man <mask> be private,"" said he, ""but, <mask> thunder, the whole","place where a man  might be private,"" said he, ""but,  in thunder, the whole",0,3
3538,countryside seems to have been out to see me do my wooing--and a mighty,countryside seems <mask> have been out <mask> see me do my wooing--and a mighty,countryside seems  to have been out  to see me do my wooing--and a mighty,2,2
3539,"poor wooing at that! where had you engaged a seat?""","poor wooing <mask> that! where had you engaged a seat?""","poor wooing  at that! where had you engaged a seat?""",1,1
3540,,,,0,0
3541,"""i was on that hill.""","""i was <mask> that hill.""","""i was  on that hill.""",1,1
3542,,,,0,0
3543,"""quite in the back row, eh? but her brother was well up to the front.","""quite <mask> the back row, eh? but her brother was well up <mask> the front.","""quite  in the back row, eh? but her brother was well up  in the front.",1,2
3544,"did you see him come out on us?""","did you see him come out <mask> us?""","did you see him come out  to us?""",0,1
3545,,,,0,0
3546,"""yes, i did.""","""yes, i did.""","""yes, i did.""",0,0
3547,,,,0,0
3548,"""did he ever strike you as being crazy--this brother of hers?""","""did he ever strike you as being crazy--this brother <mask> hers?""","""did he ever strike you as being crazy--this brother  of hers?""",1,1
3549,,,,0,0
3550,"""i can't say that he ever did.""","""i can't say that he ever did.""","""i can't say that he ever did.""",0,0
3551,,,,0,0
3552,"""i dare say not. i always thought him sane enough until today, but you","""i dare say not. i always thought him sane enough until today, but you","""i dare say not. i always thought him sane enough until today, but you",0,0
3553,can take it from me that either he or i ought to be in a straitjacket.,can take it <mask> me that either he or i ought <mask> be <mask> a straitjacket.,can take it  from me that either he or i ought  to be  wearing a straitjacket.,2,3
3554,"what's the matter with me, anyhow? you've lived near me for some weeks,","what's the matter <mask> me, anyhow? you've lived near me <mask> some weeks,","what's the matter  with me, anyhow? you've lived near me  for some weeks,",2,2
3555,"watson. tell me straight, now! is there anything that would prevent me","watson. tell me straight, now! is there anything that would prevent me","watson. tell me straight, now! is there anything that would prevent me",0,0
3556,"from making a good husband to a woman that i loved?"""," <mask> making a good husband <mask> a woman that i loved?"""," i making a good husband  to a woman that i loved?""",1,2
3557,,,,0,0
3558,"""i should say not.""","""i should say not.""","""i should say not.""",0,0
3559,,,,0,0
3560,"""he can't object to my worldly position, so it must be myself that he","""he can't object <mask> my worldly position, so it must be myself that he","""he can't object  to my worldly position, so it must be myself that he",1,1
3561,has this down on. what has he against me? i never hurt man or woman in,has this down on. what has he against me? i never hurt man or woman <mask>,has this down on. what has he against me? i never hurt man or woman .,0,1
3562,my life that i know of. and yet he would not so much as let me touch the,my life that i know of. and yet he would not so much as let me touch the,my life that i know of. and yet he would not so much as let me touch the,0,0
3563,"tips of her fingers.""","tips <mask> her fingers.""","tips  of her fingers.""",1,1
3564,,,,0,0
3565,"""did he say so?""","""did he say so?""","""did he say so?""",0,0
3566,,,,0,0
3567,"""that, and a deal more. i tell you, watson, i've only known her these","""that, and a deal more. i tell you, watson, i've only known her these","""that, and a deal more. i tell you, watson, i've only known her these",0,0
3568,"few weeks, but from the first i just felt that she was made for me,","few weeks, but <mask> the first i just felt that she was made <mask> me,","few weeks, but  after the first i just felt that she was made  for me,",1,2
3569,"and she, too--she was happy when she was with me, and that i'll swear.","and she, too--she was happy when she was <mask> me, and that i'll swear.","and she, too--she was happy when she was  with me, and that i'll swear.",1,1
3570,there's a light in a woman's eyes that speaks louder than words. but he,there's a light <mask> a woman's eyes that speaks louder than words. but he,there's a light  in a woman's eyes that speaks louder than words. but he,1,1
3571,has never let us get together and it was only today for the first time,has never let us get together and it was only today <mask> the first time,has never let us get together and it was only today  for the first time,1,1
3572,that i saw a chance of having a few words with her alone. she was glad,that i saw a chance <mask> having a few words <mask> her alone. she was glad,that i saw a chance  of having a few words  with her alone. she was glad,2,2
3573,"to meet me, but when she did it was not love that she would talk about,"," <mask> meet me, but when she did it was not love that she would talk about,"," to meet me, but when she did it was not love that she would talk about,",1,1
3574,and she wouldn't have let me talk about it either if she could have,and she wouldn't have let me talk <mask> it either if she could have,and she wouldn't have let me talk  about it either if she could have,1,1
3575,"stopped it. she kept coming back to it that this was a place of danger,","stopped it. she kept coming back <mask> it that this was a place <mask> danger,","stopped it. she kept coming back  to it that this was a place  of danger,",2,2
3576,and that she would never be happy until i had left it. i told her that,and that she would never be happy until i had left it. i told her that,and that she would never be happy until i had left it. i told her that,0,0
3577,"since i had seen her i was in no hurry to leave it, and that if she","since i had seen her i was <mask> no hurry <mask> leave it, and that if she","since i had seen her i was  in no hurry  to leave it, and that if she",2,2
3578,"really wanted me to go, the only way to work it was for her to arrange","really wanted me <mask> go, the only way <mask> work it was <mask> her <mask> arrange","really wanted me  to go, the only way  to work it was  for her  to arrange",4,4
3579,"to go with me. with that i offered in as many words to marry her, but"," <mask> go <mask> me. <mask> that i offered <mask> as many words <mask> marry her, but"," please go  with me.  Not that i offered  her as many words  to marry her, but",2,5
3580,"before she could answer, down came this brother of hers, running at us","before she could answer, down came this brother <mask> hers, running <mask> us","before she could answer, down came this brother  of hers, running  toward us",1,2
3581,"with a face on him like a madman. he was just white with rage, and those"," <mask> a face <mask> him like a madman. he was just white <mask> rage, and those"," not a face  at him like a madman. he was just white  with rage, and those",1,3
3582,light eyes of his were blazing with fury. what was i doing with the,light eyes <mask> his were blazing <mask> fury. what was i doing <mask> the,light eyes  of his were blazing  with fury. what was i doing  in the,2,3
3583,lady? how dared i offer her attentions which were distasteful to her?,lady? how dared i offer her attentions which were distasteful <mask> her?,lady? how dared i offer her attentions which were distasteful  to her?,1,1
3584,did i think that because i was a baronet i could do what i liked? if he,did i think that because i was a baronet i could do what i liked? if he,did i think that because i was a baronet i could do what i liked? if he,0,0
3585,had not been her brother i should have known better how to answer him.,had not been her brother i should have known better how <mask> answer him.,had not been her brother i should have known better how  to answer him.,1,1
3586,as it was i told him that my feelings towards his sister were such as,as it was i told him that my feelings towards his sister were such as,as it was i told him that my feelings towards his sister were such as,0,0
3587,"i was not ashamed of, and that i hoped that she might honour me by","i was not ashamed of, and that i hoped that she might honour me <mask>","i was not ashamed of, and that i hoped that she might honour me .",0,1
3588,"becoming my wife. that seemed to make the matter no better, so then i","becoming my wife. that seemed <mask> make the matter no better, so then i","becoming my wife. that seemed  to make the matter no better, so then i",1,1
3589,"lost my temper too, and i answered him rather more hotly than i should","lost my temper too, and i answered him rather more hotly than i should","lost my temper too, and i answered him rather more hotly than i should",0,0
3590,"perhaps, considering that she was standing by. so it ended by his going","perhaps, considering that she was standing by. so it ended <mask> his going","perhaps, considering that she was standing by. so it ended  up his going",0,1
3591,"off with her, as you saw, and here am i as badly puzzled a man as any","off <mask> her, as you saw, and here am i as badly puzzled a man as any","off  with her, as you saw, and here am i as badly puzzled a man as any",1,1
3592,"in this county. just tell me what it all means, watson, and i'll owe you"," <mask> this county. just tell me what it all means, watson, and i'll owe you"," in this county. just tell me what it all means, watson, and i'll owe you",1,1
3593,"more than ever i can hope to pay.""","more than ever i can hope <mask> pay.""","more than ever i can hope  to pay.""",1,1
3594,,,,0,0
3595,"i tried one or two explanations, but, indeed, i was completely puzzled","i tried one or two explanations, but, indeed, i was completely puzzled","i tried one or two explanations, but, indeed, i was completely puzzled",0,0
3596,"myself. our friend's title, his fortune, his age, his character, and his","myself. our friend's title, his fortune, his age, his character, and his","myself. our friend's title, his fortune, his age, his character, and his",0,0
3597,"appearance are all in his favour, and i know nothing against him unless","appearance are all <mask> his favour, and i know nothing against him unless","appearance are all  in his favour, and i know nothing against him unless",1,1
3598,it be this dark fate which runs in his family. that his advances should,it be this dark fate which runs <mask> his family. that his advances should,it be this dark fate which runs  in his family. that his advances should,1,1
3599,be rejected so brusquely without any reference to the lady's own wishes,be rejected so brusquely without any reference <mask> the lady's own wishes,be rejected so brusquely without any reference  to the lady's own wishes,1,1
3600,and that the lady should accept the situation without protest is very,and that the lady should accept the situation without protest is very,and that the lady should accept the situation without protest is very,0,0
3601,"amazing. however, our conjectures were set at rest by a visit from","amazing. however, our conjectures were set <mask> rest <mask> a visit <mask>","amazing. however, our conjectures were set  to rest  after a visit  to",0,3
3602,stapleton himself that very afternoon. he had come to offer apologies,stapleton himself that very afternoon. he had come <mask> offer apologies,stapleton himself that very afternoon. he had come  to offer apologies,1,1
3603,"for his rudeness of the morning, and after a long private interview with"," <mask> his rudeness <mask> the morning, and after a long private interview <mask>"," After his rudeness  in the morning, and after a long private interview .",0,3
3604,sir henry in his study the upshot of their conversation was that the,sir henry <mask> his study the upshot <mask> their conversation was that the,sir henry  told his study the upshot  of their conversation was that the,1,2
3605,"breach is quite healed, and that we are to dine at merripit house next","breach is quite healed, and that we are <mask> dine <mask> merripit house next","breach is quite healed, and that we are  to dine  at merripit house next",2,2
3606,friday as a sign of it.,friday as a sign <mask> it.,friday as a sign  of it.,1,1
3607,,,,0,0
3608,"""i don't say now that he isn't a crazy man,"" said sir henry; ""i can't","""i don't say now that he isn't a crazy man,"" said sir henry; ""i can't","""i don't say now that he isn't a crazy man,"" said sir henry; ""i can't",0,0
3609,"forget the look in his eyes when he ran at me this morning, but i must","forget the look <mask> his eyes when he ran <mask> me this morning, but i must","forget the look  in his eyes when he ran  into me this morning, but i must",1,2
3610,"allow that no man could make a more handsome apology than he has done.""","allow that no man could make a more handsome apology than he has done.""","allow that no man could make a more handsome apology than he has done.""",0,0
3611,,,,0,0
3612,"""did he give any explanation of his conduct?""","""did he give any explanation <mask> his conduct?""","""did he give any explanation  for his conduct?""",0,1
3613,,,,0,0
3614,"""his sister is everything in his life, he says. that is natural enough,","""his sister is everything <mask> his life, he says. that is natural enough,","""his sister is everything  in his life, he says. that is natural enough,",1,1
3615,and i am glad that he should understand her value. they have always been,and i am glad that he should understand her value. they have always been,and i am glad that he should understand her value. they have always been,0,0
3616,"together, and according to his account he has been a very lonely man","together, and according <mask> his account he has been a very lonely man","together, and according  to his account he has been a very lonely man",1,1
3617,"with only her as a companion, so that the thought of losing her was"," <mask> only her as a companion, so that the thought <mask> losing her was"," and only her as a companion, so that the thought  of losing her was",1,2
3618,"really terrible to him. he had not understood, he said, that i was","really terrible <mask> him. he had not understood, he said, that i was","really terrible  for him. he had not understood, he said, that i was",0,1
3619,"becoming attached to her, but when he saw with his own eyes that it was","becoming attached <mask> her, but when he saw <mask> his own eyes that it was","becoming attached  to her, but when he saw  with his own eyes that it was",2,2
3620,"really so, and that she might be taken away from him, it gave him such a","really so, and that she might be taken away <mask> him, it gave him such a","really so, and that she might be taken away  from him, it gave him such a",1,1
3621,shock that for a time he was not responsible for what he said or did.,shock that <mask> a time he was not responsible <mask> what he said or did.,shock that  for a time he was not responsible  for what he said or did.,2,2
3622,"he was very sorry for all that had passed, and he recognized how foolish","he was very sorry <mask> all that had passed, and he recognized how foolish","he was very sorry  for all that had passed, and he recognized how foolish",1,1
3623,and how selfish it was that he should imagine that he could hold a,and how selfish it was that he should imagine that he could hold a,and how selfish it was that he should imagine that he could hold a,0,0
3624,beautiful woman like his sister to himself for her whole life. if she,beautiful woman like his sister <mask> himself <mask> her whole life. if she,beautiful woman like his sister  and himself  for her whole life. if she,1,2
3625,had to leave him he had rather it was to a neighbour like myself than to,had <mask> leave him he had rather it was <mask> a neighbour like myself than <mask>,had  to leave him he had rather it was  with a neighbour like myself than  him,1,3
3626,anyone else. but in any case it was a blow to him and it would take him,anyone else. but <mask> any case it was a blow <mask> him and it would take him,anyone else. but  in any case it was a blow  to him and it would take him,2,2
3627,some time before he could prepare himself to meet it. he would withdraw,some time before he could prepare himself <mask> meet it. he would withdraw,some time before he could prepare himself  to meet it. he would withdraw,1,1
3628,all opposition upon his part if i would promise for three months to let,all opposition upon his part if i would promise <mask> three months <mask> let,all opposition upon his part if i would promise  him three months  to let,1,2
3629,the matter rest and to be content with cultivating the lady's friendship,the matter rest and <mask> be content <mask> cultivating the lady's friendship,the matter rest and  shall be content  with cultivating the lady's friendship,1,2
3630,"during that time without claiming her love. this i promised, and so the","during that time without claiming her love. this i promised, and so the","during that time without claiming her love. this i promised, and so the",0,0
3631,"matter rests.""","matter rests.""","matter rests.""",0,0
3632,,,,0,0
3633,so there is one of our small mysteries cleared up. it is something to,so there is one <mask> our small mysteries cleared up. it is something <mask>,so there is one  of our small mysteries cleared up. it is something  like,1,2
3634,have touched bottom anywhere in this bog in which we are floundering.,have touched bottom anywhere <mask> this bog <mask> which we are floundering.,have touched bottom anywhere  in this bog  in which we are floundering.,2,2
3635,we know now why stapleton looked with disfavour upon his sister's,we know now why stapleton looked <mask> disfavour upon his sister's,we know now why stapleton looked  in disfavour upon his sister's,0,1
3636,suitor--even when that suitor was so eligible a one as sir henry. and,suitor--even when that suitor was so eligible a one as sir henry. and,suitor--even when that suitor was so eligible a one as sir henry. and,0,0
3637,now i pass on to another thread which i have extricated out of the,now i pass <mask> <mask> another thread which i have extricated out <mask> the,now i pass  this  to another thread which i have extricated out  of the,2,3
3638,"tangled skein, the mystery of the sobs in the night, of the tear-stained","tangled skein, the mystery <mask> the sobs <mask> the night, <mask> the tear-stained","tangled skein, the mystery , the sobs  of the night,  and the tear-stained",0,3
3639,"face of mrs. barrymore, of the secret journey of the butler to the","face <mask> mrs. barrymore, <mask> the secret journey <mask> the butler <mask> the","face  of mrs. barrymore,  and the secret journey  of the butler  to the",3,4
3640,"western lattice window. congratulate me, my dear holmes, and tell me","western lattice window. congratulate me, my dear holmes, and tell me","western lattice window. congratulate me, my dear holmes, and tell me",0,0
3641,that i have not disappointed you as an agent--that you do not regret,that i have not disappointed you as an agent--that you do not regret,that i have not disappointed you as an agent--that you do not regret,0,0
3642,the confidence which you showed in me when you sent me down. all these,the confidence which you showed <mask> me when you sent me down. all these,the confidence which you showed  in me when you sent me down. all these,1,1
3643,things have by one night's work been thoroughly cleared.,things have <mask> one night's work been thoroughly cleared.,things have  after one night's work been thoroughly cleared.,0,1
3644,,,,0,0
3645,"i have said ""by one night's work,"" but, in truth, it was by two nights'","i have said ""by one night's work,"" but, <mask> truth, it was <mask> two nights'","i have said ""by one night's work,"" but,  in truth, it was  by two nights'",0,2
3646,"work, for on the first we drew entirely blank. i sat up with sir henry","work, <mask> <mask> the first we drew entirely blank. i sat up <mask> sir henry","work,  this  was the first we drew entirely blank. i sat up  and sir henry",0,3
3647,"in his rooms until nearly three o'clock in the morning, but no sound of"," <mask> his rooms until nearly three o'clock <mask> the morning, but no sound <mask>"," In his rooms until nearly three o'clock  in the morning, but no sound .",2,3
3648,any sort did we hear except the chiming clock upon the stairs. it was,any sort did we hear except the chiming clock upon the stairs. it was,any sort did we hear except the chiming clock upon the stairs. it was,0,0
3649,a most melancholy vigil and ended by each of us falling asleep in our,a most melancholy vigil and ended <mask> each <mask> us falling asleep <mask> our,a most melancholy vigil and ended  with each  of us falling asleep  in our,2,3
3650,"chairs. fortunately we were not discouraged, and we determined to try","chairs. fortunately we were not discouraged, and we determined <mask> try","chairs. fortunately we were not discouraged, and we determined  to try",1,1
3651,again. the next night we lowered the lamp and sat smoking cigarettes,again. the next night we lowered the lamp and sat smoking cigarettes,again. the next night we lowered the lamp and sat smoking cigarettes,0,0
3652,without making the least sound. it was incredible how slowly the hours,without making the least sound. it was incredible how slowly the hours,without making the least sound. it was incredible how slowly the hours,0,0
3653,"crawled by, and yet we were helped through it by the same sort of","crawled by, and yet we were helped through it <mask> the same sort <mask>","crawled by, and yet we were helped through it  by the same sort .",1,2
3654,patient interest which the hunter must feel as he watches the trap into,patient interest which the hunter must feel as he watches the trap into,patient interest which the hunter must feel as he watches the trap into,0,0
3655,"which he hopes the game may wander. one struck, and two, and we had","which he hopes the game may wander. one struck, and two, and we had","which he hopes the game may wander. one struck, and two, and we had",0,0
3656,almost for the second time given it up in despair when in an instant we,almost <mask> the second time given it up <mask> despair when <mask> an instant we,almost  for the second time given it up  in despair when  in an instant we,3,3
3657,both sat bolt upright in our chairs with all our weary senses keenly on,both sat bolt upright <mask> our chairs <mask> all our weary senses keenly <mask>,"both sat bolt upright  in our chairs , all our weary senses keenly  aware",1,3
3658,the alert once more. we had heard the creak of a step in the passage.,the alert once more. we had heard the creak <mask> a step <mask> the passage.,the alert once more. we had heard the creak  of a step  in the passage.,2,2
3659,,,,0,0
3660,very stealthily we heard it pass along until it died away in the,very stealthily we heard it pass along until it died away <mask> the,very stealthily we heard it pass along until it died away  in the,1,1
3661,distance. then the baronet gently opened his door and we set out in,distance. then the baronet gently opened his door and we set out <mask>,distance. then the baronet gently opened his door and we set out .,0,1
3662,pursuit. already our man had gone round the gallery and the corridor was,pursuit. already our man had gone round the gallery and the corridor was,pursuit. already our man had gone round the gallery and the corridor was,0,0
3663,all in darkness. softly we stole along until we had come into the other,all <mask> darkness. softly we stole along until we had come into the other,all  in darkness. softly we stole along until we had come into the other,1,1
3664,"wing. we were just in time to catch a glimpse of the tall, black-bearded","wing. we were just <mask> time <mask> catch a glimpse <mask> the tall, black-bearded","wing. we were just  in time  to catch a glimpse  of the tall, black-bearded",3,3
3665,"figure, his shoulders rounded as he tiptoed down the passage. then he","figure, his shoulders rounded as he tiptoed down the passage. then he","figure, his shoulders rounded as he tiptoed down the passage. then he",0,0
3666,"passed through the same door as before, and the light of the candle","passed through the same door as before, and the light <mask> the candle","passed through the same door as before, and the light  of the candle",1,1
3667,framed it in the darkness and shot one single yellow beam across the,framed it <mask> the darkness and shot one single yellow beam across the,framed it  in the darkness and shot one single yellow beam across the,1,1
3668,"gloom of the corridor. we shuffled cautiously towards it, trying every","gloom <mask> the corridor. we shuffled cautiously towards it, trying every","gloom  filled the corridor. we shuffled cautiously towards it, trying every",0,1
3669,plank before we dared to put our whole weight upon it. we had taken the,plank before we dared <mask> put our whole weight upon it. we had taken the,plank before we dared  to put our whole weight upon it. we had taken the,1,1
3670,"precaution of leaving our boots behind us, but, even so, the old boards","precaution <mask> leaving our boots behind us, but, even so, the old boards","precaution  and leaving our boots behind us, but, even so, the old boards",0,1
3671,snapped and creaked beneath our tread. sometimes it seemed impossible,snapped and creaked beneath our tread. sometimes it seemed impossible,snapped and creaked beneath our tread. sometimes it seemed impossible,0,0
3672,"that he should fail to hear our approach. however, the man is","that he should fail <mask> hear our approach. however, the man is","that he should fail  to hear our approach. however, the man is",1,1
3673,"fortunately rather deaf, and he was entirely preoccupied in that which","fortunately rather deaf, and he was entirely preoccupied <mask> that which","fortunately rather deaf, and he was entirely preoccupied  with that which",0,1
3674,he was doing. when at last we reached the door and peeped through we,he was doing. when <mask> last we reached the door and peeped through we,he was doing. when  at last we reached the door and peeped through we,1,1
3675,"found him crouching at the window, candle in hand, his white, intent","found him crouching <mask> the window, candle <mask> hand, his white, intent","found him crouching  by the window, candle  in hand, his white, intent",1,2
3676,"face pressed against the pane, exactly as i had seen him two nights","face pressed against the pane, exactly as i had seen him two nights","face pressed against the pane, exactly as i had seen him two nights",0,0
3677,before.,before.,before.,0,0
3678,,,,0,0
3679,"we had arranged no plan of campaign, but the baronet is a man to whom","we had arranged no plan <mask> campaign, but the baronet is a man <mask> whom","we had arranged no plan  of campaign, but the baronet is a man  for whom",1,2
3680,"the most direct way is always the most natural. he walked into the room,","the most direct way is always the most natural. he walked into the room,","the most direct way is always the most natural. he walked into the room,",0,0
3681,and as he did so barrymore sprang up from the window with a sharp hiss,and as he did so barrymore sprang up <mask> the window <mask> a sharp hiss,and as he did so barrymore sprang up  to the window  with a sharp hiss,1,2
3682,"of his breath and stood, livid and trembling, before us. his dark eyes,"," <mask> his breath and stood, livid and trembling, before us. his dark eyes,"," lost his breath and stood, livid and trembling, before us. his dark eyes,",0,1
3683,"glaring out of the white mask of his face, were full of horror and","glaring out <mask> the white mask <mask> his face, were full <mask> horror and","glaring out  of the white mask  on his face, were full  of horror and",2,3
3684,astonishment as he gazed from sir henry to me.,astonishment as he gazed <mask> sir henry <mask> me.,astonishment as he gazed  at sir henry  and me.,0,2
3685,,,,0,0
3686,"""what are you doing here, barrymore?""","""what are you doing here, barrymore?""","""what are you doing here, barrymore?""",0,0
3687,,,,0,0
3688,"""nothing, sir."" his agitation was so great that he could hardly speak,","""nothing, sir."" his agitation was so great that he could hardly speak,","""nothing, sir."" his agitation was so great that he could hardly speak,",0,0
3689,"and the shadows sprang up and down from the shaking of his candle. ""it","and the shadows sprang up and down <mask> the shaking <mask> his candle. ""it","and the shadows sprang up and down  with the shaking  of his candle. ""it",1,2
3690,"was the window, sir. i go round at night to see that they are fastened.""","was the window, sir. i go round <mask> night <mask> see that they are fastened.""","was the window, sir. i go round  at night  and see that they are fastened.""",1,2
3691,,,,0,0
3692,"""on the second floor?""","""on the second floor?""","""on the second floor?""",0,0
3693,,,,0,0
3694,"""yes, sir, all the windows.""","""yes, sir, all the windows.""","""yes, sir, all the windows.""",0,0
3695,,,,0,0
3696,"""look here, barrymore,"" said sir henry sternly, ""we have made up our","""look here, barrymore,"" said sir henry sternly, ""we have made up our","""look here, barrymore,"" said sir henry sternly, ""we have made up our",0,0
3697,"minds to have the truth out of you, so it will save you trouble to tell","minds <mask> have the truth out <mask> you, so it will save you trouble <mask> tell","minds  will have the truth out  of you, so it will save you trouble  to tell",2,3
3698,"it sooner rather than later. come, now! no lies! what were you doing at","it sooner rather than later. come, now! no lies! what were you doing <mask>","it sooner rather than later. come, now! no lies! what were you doing ?",0,1
3699,"that window?""","that window?""","that window?""",0,0
3700,,,,0,0
3701,"the fellow looked at us in a helpless way, and he wrung his hands","the fellow looked <mask> us <mask> a helpless way, and he wrung his hands","the fellow looked  at us  in a helpless way, and he wrung his hands",2,2
3702,together like one who is in the last extremity of doubt and misery.,together like one who is <mask> the last extremity <mask> doubt and misery.,together like one who is  at the last extremity  of doubt and misery.,1,2
3703,,,,0,0
3704,"""i was doing no harm, sir. i was holding a candle to the window.""","""i was doing no harm, sir. i was holding a candle <mask> the window.""","""i was doing no harm, sir. i was holding a candle  to the window.""",1,1
3705,,,,0,0
3706,"""and why were you holding a candle to the window?""","""and why were you holding a candle <mask> the window?""","""and why were you holding a candle  to the window?""",1,1
3707,,,,0,0
3708,"""don't ask me, sir henry--don't ask me! i give you my word, sir, that it","""don't ask me, sir henry--don't ask me! i give you my word, sir, that it","""don't ask me, sir henry--don't ask me! i give you my word, sir, that it",0,0
3709,"is not my secret, and that i cannot tell it. if it concerned no one but","is not my secret, and that i cannot tell it. if it concerned no one but","is not my secret, and that i cannot tell it. if it concerned no one but",0,0
3710,"myself i would not try to keep it from you.""","myself i would not try <mask> keep it <mask> you.""","myself i would not try  to keep it  from you.""",2,2
3711,,,,0,0
3712,"a sudden idea occurred to me, and i took the candle from the trembling","a sudden idea occurred <mask> me, and i took the candle <mask> the trembling","a sudden idea occurred  to me, and i took the candle  from the trembling",2,2
3713,hand of the butler.,hand <mask> the butler.,hand  of the butler.,1,1
3714,,,,0,0
3715,"""he must have been holding it as a signal,"" said i. ""let us see if","""he must have been holding it as a signal,"" said i. ""let us see if","""he must have been holding it as a signal,"" said i. ""let us see if",0,0
3716,"there is any answer."" i held it as he had done, and stared out into the","there is any answer."" i held it as he had done, and stared out into the","there is any answer."" i held it as he had done, and stared out into the",0,0
3717,darkness of the night. vaguely i could discern the black bank of the,darkness <mask> the night. vaguely i could discern the black bank <mask> the,darkness  of the night. vaguely i could discern the black bank  of the,2,2
3718,"trees and the lighter expanse of the moor, for the moon was behind the","trees and the lighter expanse <mask> the moor, <mask> the moon was behind the","trees and the lighter expanse  of the moor,  where the moon was behind the",1,2
3719,"clouds. and then i gave a cry of exultation, for a tiny pinpoint of","clouds. and then i gave a cry <mask> exultation, <mask> a tiny pinpoint <mask>","clouds. and then i gave a cry  of exultation,  like a tiny pinpoint .",1,3
3720,"yellow light had suddenly transfixed the dark veil, and glowed steadily","yellow light had suddenly transfixed the dark veil, and glowed steadily","yellow light had suddenly transfixed the dark veil, and glowed steadily",0,0
3721,in the centre of the black square framed by the window., <mask> the centre <mask> the black square framed <mask> the window., In the centre  is the black square framed  by the window.,2,3
3722,,,,0,0
3723,"""there it is!"" i cried.","""there it is!"" i cried.","""there it is!"" i cried.",0,0
3724,,,,0,0
3725,"""no, no, sir, it is nothing--nothing at all!"" the butler broke in; ""i","""no, no, sir, it is nothing--nothing <mask> all!"" the butler broke in; ""i","""no, no, sir, it is nothing--nothing  at all!"" the butler broke in; ""i",1,1
3726,"assure you, sir--""","assure you, sir--""","assure you, sir--""",0,0
3727,,,,0,0
3728,"""move your light across the window, watson!"" cried the baronet. ""see,","""move your light across the window, watson!"" cried the baronet. ""see,","""move your light across the window, watson!"" cried the baronet. ""see,",0,0
3729,"the other moves also! now, you rascal, do you deny that it is a signal?","the other moves also! now, you rascal, do you deny that it is a signal?","the other moves also! now, you rascal, do you deny that it is a signal?",0,0
3730,"come, speak up! who is your confederate out yonder, and what is this","come, speak up! who is your confederate out yonder, and what is this","come, speak up! who is your confederate out yonder, and what is this",0,0
3731,"conspiracy that is going on?""","conspiracy that is going on?""","conspiracy that is going on?""",0,0
3732,,,,0,0
